Shoe Number,Price (£),Mark-up Percent,Wholesale Price,,,
,,,,,,
B014LT,8.4,23.29,10.95,2.55,,
,,,,,,
B040C,7.24,25.74,9.75,2.51,,
,7.24,25.74,9.75,2.51,,
B040F,7.24,25.74,9.75,2.51,,
,7.24,25.74,9.75,2.51,,
B040T,7.24,25.74,9.75,2.51,,
,7.24,25.74,9.75,2.51,,
B071A,11.5,26.7,,-11.5,,
,,,,,,
B117T,2,55.06,,-2,,
,2,55.06,,-2,,
B154A,5,49.75,,-5,,
,,,,,,
B157A,8.9,18.72,,-8.9,,
,8.9,18.72,,-8.9,,
B370A,8.3,24.2,,-8.3,,
,,,,,,
B370B,8.4,23.29,,-8.4,,
,,,,,,
B430A,1,74.94,,-1,,
,19.15,20.11,,-19.15,,
B340A+,19.15,20.11,,-19.15,,
,20.06,19.66,,-20.06,,
B430BD,19.15,20.11,,-19.15,,
,19.15,20.11,,-19.15,,
,20.06,19.66,,-20.06,,
B430C,19.63,21.32,,-19.63,,
,20.53,20.89,,-20.53,,
B430F,16.63,33.35,,-16.63,,
,20.53,20.89,,-20.53,,
B501A,6.61,19.88,,-6.61,,
,,,,,,
B516A,8.6,21.46,,-8.6,,
,,,,,,
B516B,8.6,21.46,,-8.6,,
,,,,,,
B516BD,8.6,21.46,,-8.6,,
